what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.chromium.debug.ui,0.6.0.v201608251013,"org.eclipse.wst.jsdt.chromium.debug.ui",1488931900194
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931904881
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931908314
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.300.v201308151836,"org.eclipse.jst.ws.jaxws.dom.integration",1488931908529
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.100.v201308151836,"org.eclipse.jst.ws.jaxws.dom.ui",1488931908614
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.301.v201504272154,"org.eclipse.jst.ws.jaxws.utils",1488931908684
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931912489
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931915120
started,bundle,org.eclipse.jpt.jaxb.core,1.4.100.v201603180253,"org.eclipse.jpt.jaxb.core",1488931915400
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931919247
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931921418
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931926487
started,bundle,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit",1488931927956
started,bundle,org.eclipse.jdt.junit.core,3.8.0.v20160421-1701,"org.eclipse.jdt.junit.core",1488931927981
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.200.v20160504-1450,"org.eclipse.equinox.simpleconfigurator.manipulator",1488931928222
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.300.v20160504-1450,"org.eclipse.equinox.frameworkadmin",1488931928523
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931930418
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931939036
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931942990
opened,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1488931944510
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1488931944787
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1488931944821
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.views.showView",1488931944821
started,bundle,org.eclipse.core.variables,3.3.0.v20160419-1720,"org.eclipse.core.variables",1488931945407
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1488931948623
started,bundle,org.eclipse.egit.mylyn.ui,4.4.1.201607150455-r,"org.eclipse.egit.mylyn.ui",1488931949134
activated,view,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui.StagingView",1488931951893
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.selectAll",1488931952516
started,bundle,org.eclipse.mylyn.java.tasks,3.21.0.v20160701-1337,"org.eclipse.mylyn.java.tasks",1488931957239
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1488931961386
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488931968667
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932096560
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932101995
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932116892
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1488932119344
started,bundle,org.eclipse.wst.sse.ui,1.3.500.v201605120129,"org.eclipse.wst.sse.ui",1488932119389
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1488932120057
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932123373
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932127356
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1488932128505
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.format",1488932129463
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488932130526
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932161800
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932191550
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488932200217
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1488932213449
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932213995
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932263719
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1488932267401
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1488932267672
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1488932269061
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932282108
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932295229
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1488932297134
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.format",1488932300388
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1488932302336
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.toggleOverwrite",1488932302340
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1488932302457
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.toggleOverwrite",1488932303495
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1488932305009
error,log,,,"Could not read file: C:\\Users\\ivanbosnic\\Documents\\work_eng_estd_2017\\aula_04\\src\\estd\\Monkey.java.",1488932305779
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488932305890
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932330690
error,log,,,"Background Indexer Crash Recovery",1488932337302
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932345834
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1488932382412
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932384401
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1488932521236
error,log,,,"O caminho da rede não foi encontrado",1488932521272
error,log,,,"Could not write workspace metadata 'Z:\\eclipse\\work_eng\\.metadata\\.plugins\\org.eclipse.core.resources\\0.snap'.",1488932521284
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932602985
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932653402
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932980112
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1488932981847
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932985102
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488932995781
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1488932996183
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1488932996547
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1488932998647
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933006918
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933009395
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1488933011401
executed,command,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.edit.text.java.format",1488933013327
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488933014604
started,bundle,org.eclipse.recommenders.injection,2.4.5.v20161130-1427,"org.eclipse.recommenders.injection",1488933172643
started,bundle,org.eclipse.recommenders.apidocs.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.apidocs.rcp",1488933172673
started,bundle,org.eclipse.recommenders.chain.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.chain.rcp",1488933172679
started,bundle,org.eclipse.recommenders.completion.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.completion.rcp",1488933172684
started,bundle,org.eclipse.recommenders.coordinates.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates.rcp",1488933172922
started,bundle,org.eclipse.recommenders.coordinates,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates",1488933172924
started,bundle,org.eclipse.recommenders.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.rcp",1488933173170
started,bundle,org.eclipse.recommenders.models,2.4.5.v20161130-1427,"org.eclipse.recommenders.models",1488933174394
started,bundle,org.eclipse.mylyn.java.ui,3.21.0.v20160701-1337,"org.eclipse.mylyn.java.ui",1488933176717
started,bundle,org.eclipse.pde.api.tools,1.1.2.v20161115-0549,"org.eclipse.pde.api.tools",1488933176962
started,bundle,org.eclipse.pde.api.tools.ui,1.1.0.v20160519-0701,"org.eclipse.pde.api.tools.ui",1488933176968
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.401.v201504291921,"org.eclipse.jst.ws.jaxws.ui",1488933176976
started,bundle,org.eclipse.recommenders.utils.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.utils.rcp",1488933181025
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488933181456
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1488933186995
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488933197625
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933198145
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933200780
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488933201915
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933203782
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933205297
error,log,,,"Unhandled event loop exception",1488933216930
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488933221657
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933223514
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933224936
error,log,,,"Unhandled event loop exception",1488933258765
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933258793
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933262395
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1488933263600
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933264695
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1488933264976
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1488933397692
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.paste",1488933399888
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1488933406142
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.goto.lineStart",1488933406268
